Município,codigo_ibge,Índice de Isolamento (%),Dia da Semana,Data
Cruzeiro,3513405,43,quinta-feira ,2021-02-04
Porto Feliz,3540606,41,quinta-feira ,2021-02-04
Barueri,3505708,33,quinta-feira ,2021-02-04
Caieiras,3509007,35,quinta-feira ,2021-02-04
Santa Isabel,3546801,43,quinta-feira ,2021-02-04
Barretos,3505500,34,quinta-feira ,2021-02-04
Matão,3529302,39,quinta-feira ,2021-02-04
Guarujá,3518701,41,quinta-feira ,2021-02-04
Lorena,3527207,41,quinta-feira ,2021-02-04
Paulínia,3536505,36,quinta-feira ,2021-02-04
Botucatu,3507506,38,quinta-feira ,2021-02-04
Mirassol,3530300,40,quinta-feira ,2021-02-04
Jundiaí,3525904,31,quinta-feira ,2021-02-04
Mauá,3529401,36,quinta-feira ,2021-02-04
Lençóis Paulista,3526803,38,quinta-feira ,2021-02-04
Taboão Da Serra,3552809,38,quinta-feira ,2021-02-04
Itapecerica Da Serra,3522208,41,quinta-feira ,2021-02-04
Santo André,3547809,39,quinta-feira ,2021-02-04
São Joaquim Da Barra,3549409,54,sexta-feira ,2021-02-05
