Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
São Vicente,274703,225034,36118,7586,544928
Tabapuã,9662,9109,1440,268,20399
Tabatinga,12034,11117,1439,521,26019
Taboão Da Serra,219011,184581,17158,7650,481835
Taciba,4825,4394,496,156,10014
Taguaí,10576,9940,1125,344,23215
Taiaçu,4796,4536,773,150,10243
Taiúva,5542,5087,791,158,10411
Tambaú,17429,15233,2004,572,37917
Tanabi,21263,19649,3097,625,43701
Tapiratiba,10552,9980,1196,283,23732
Tapiraí,6767,6164,668,151,12292
Taquaral,2284,2222,278,59,4814
Taquaritinga,44367,41262,5989,1299,89785
Taquarituba,21097,19637,2068,495,39731
Taquarivaí,4890,4189,288,127,10632
Tarabai,5611,5090,587,204,11928
Tarumã,11949,11322,1105,410,23951
Tatuí,100315,86020,9029,3091,198337
Taubaté,251839,223251,25500,8504,536752
Tejupá,3633,3304,387,90,7336
Teodoro Sampaio,18172,16266,1642,574,35466
Terra Roxa,6614,6278,809,245,13803
Tietê,31726,29518,2858,1123,67027
Timburi,2278,2151,393,39,4194
Torre De Pedra,2368,2245,288,50,4857
Torrinha,7978,7517,1162,256,16713
Trabiju,1474,1322,203,35,3037
Tremembé,41082,36518,4038,1224,85863
Três Fronteiras,5372,5070,868,134,10076
Tuiuti,5483,5054,577,180,12699
Tupi Paulista,14056,13069,1808,325,27217
Tupã,53834,50389,6988,1387,108928
Turiúba,1612,1577,308,39,3400
Turmalina,1716,1674,456,23,3332
Ubarana,4503,4215,428,160,9715
Ubatuba,79272,62708,5554,2143,158438
Ubirajara,4405,3518,357,103,8909
Uchoa,8188,7921,1323,231,17215
União Paulista,1402,1357,193,36,2707
Uru,1154,1135,231,26,2313
Urupês,11441,10820,1648,351,23528
Urânia,7336,6734,1201,233,14885
Valentim Gentil,11357,10637,1154,406,24785
Valinhos,103266,92924,12660,3341,219062
Valparaíso,20349,18064,1682,609,41407
Vargem,8234,7313,1056,257,17923
Vargem Grande Do Sul,34238,30969,3935,1017,62031
Vargem Grande Paulista,39753,32694,2941,1369,87064
Vera Cruz,8431,7969,1412,181,17494
Vinhedo,63188,56723,6540,2286,135884
Viradouro,14833,13547,1744,460,31338
Vista Alegre Do Alto,6499,6163,706,254,14998
Vitória Brasil,1590,1261,142,37,2987
Votorantim,87176,76549,7743,3253,200166
Votuporanga,81038,72433,11187,2315,169460
Várzea Paulista,91343,76865,5207,3590,200269
Zacarias,2127,2077,308,69,4525
Águas Da Prata,6576,6263,941,193,13755
Águas De Lindóia,16451,15238,1661,463,34173
Águas De Santa Bárbara,5309,4689,658,136,10189
Águas De São Pedro,3461,3299,619,58,9318
Álvares Florence,3339,3220,491,80,7219
Álvares Machado,19891,17907,2219,600,41472
Álvaro De Carvalho,5430,5087,413,107,9217
Óleo,2438,2370,282,54,4962
