codigo_ibge,municipio,latitude,longitude,mesorregiao,microrregiao
3505005,Barão de Antonina,-23.6284,-49.5634,Itapetininga ,Itapeva
3505104,Barbosa,-21.2657,-49.9518,Araçatuba,Birigui
3505203,Bariri,-22.073,-48.7438,Bauru,Jaú
3505302,Barra Bonita,-22.4909,-48.5583,Bauru,Jaú
3505351,Barra do Chapéu,-24.4722,-49.0238,Itapetininga ,Capão Bonito
3505401,Barra do Turvo,-24.759,-48.5013,Litoral Sul Paulista,Registro
3505500,Barretos,-20.5531,-48.5698,Ribeirão Preto,Barretos
3505609,Barrinha,-21.1864,-48.1636,Ribeirão Preto,Ribeirão Preto
3505708,Barueri,-23.5057,-46.879,Metropolitana de São Paulo,Osasco
3505807,Bastos,-21.921,-50.7357,Marília,Tupã
3505906,Batatais,-20.8929,-47.5921,Ribeirão Preto,Batatais
3506003,Bauru,-22.3246,-49.0871,Bauru,Bauru
3506102,Bebedouro,-20.9491,-48.4791,Ribeirão Preto,Jaboticabal 
3506201,Bento de Abreu,-21.2686,-50.814,Araçatuba,Araçatuba
3506300,Bernardino de Campos,-23.0164,-49.4679,Assis,Ourinhos
3506359,Bertioga,-23.8486,-46.1396,Metropolitana de São Paulo,Santos
3506409,Bilac,-21.404,-50.4746,Araçatuba,Birigui
3506508,Birigui,-21.291,-50.3432,Araçatuba,Birigui
3506607,Biritiba-Mirim,-23.5698,-46.0407,Metropolitana de São Paulo,Mogi das Cruzes
3506706,Boa Esperança do Sul,-21.9918,-48.3906,Araraquara ,Araraquara
3506805,Bocaina,-22.1365,-48.523,Bauru,Jaú
